"decade.decadeID";"decade.mysteryIndex";"decade.decadeNo";"decade.decadeName";"decade.decadeInfo";"decade.infoRefference"
10;5;5;"Fifth Luminous Mystery: The Last Supper, when our Lord gave us the Eucharist";"<p>At the Last Supper, Jesus instituted the Eucharist. When you receive Jesus in the Holy Eucharist a union between Him and you is created. This bond creates in you a holy life that is filled with peace because Jesus is the source of all holiness and the giver of all graces.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
11;1;1;"First Sorrowful Mystery: The Agony in the Garden";"<p>Jesus experienced great agony and showed you the way to confront your own sufferings. You must imitate Jesus and turn to God in prayer at these times. When you pray remember to be open to God's will for you even as you ask Him to relieve your sufferings just as Jesus did at Gethsemane.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
12;2;2;"Second Sorrowful Mystery: The Scourging At The Pillar";"<p>The whips that scourged Jesus were caused by our sins. With Jesus' scourging in mind commit yourself to never again offend God by keeping your thoughts, words and deeds pure.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
13;3;3;"Third Sorrowful Mystery: The Crowning with Thorns";"<p>When thinking of the terrible crown of thorns Jesus was forced to wear, keep in mind He wore this crown in expiation for the sins of thought. Keep your mind free from trouble. Do not worry endlessly or be anxious about anything. Keep your thoughts holy and fixed on Jesus and things that are not of this world.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
14;4;4;"Fourth Sorrowful Mystery: The Carrying of the Cross";"Jesus' patience is the focus of His agonizing way of the cross. Jesus embraced His cross because it was the will of God and the purpose of His mission to redeem fallen man. You must follow Jesus' example by embracing the trials and sufferings of your daily life and uniting them to His sufferings.";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
15;5;5;"Fifth Sorrowful Mystery: The Crucifixion of Our Lord";"<p>The crucifixion is Jesus' ultimate act of redemption. This act of redemption was necessary because God being a just God desired that mankind make reparation for the disobedience of Adam and Eve. Only man could repair for his sin. For this reason, God became man in the Person of Jesus and suffered and died on the cross. Jesus did this for you. In return, you must strive to increase in all the virtues and persevere in faith.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
16;1;1;"First Glorious Mystery: The Resurrection";"<p>Your faith in Jesus should be firmly founded in this mystery, Jesus' Resurrection. You must spread this faith by leading a holy life. Never let an opportunity pass when you can be an example of Jesus' love.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
17;2;2;"Second Glorious Mystery: The Ascension";"<p>Jesus' Ascension brings hope to those here on earth. Jesus ascended into heaven before the Apostles very eyes. Jesus is in heaven now waiting to greet you. You will find peace as you learn to embrace your crosses and eagerly await the day you will be united with Jesus and His Mother Mary and with all the angels and the saints.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
18;3;3;"Third Glorious Mystery: The Descent of the Holy Spirit";"<p>The Descent of the Holy Spirit should incite in you a deep love of God. Jesus sent the third Person of the Blessed Trinity, the Holy Spirit to guide and protect the Church and to pour out His gifts upon its members. Become familiar with these gifts and learn to use them in your own life, for your good and for the good of all those you love. Don't let these marvelous gifts go to waste. Thank God for loving you so much. Not only did He become Man to die for your sins, He also send His Spirit to guide and protect you and His Church.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
19;4;4;"Fourth Glorious Mystery: The Assumption";"<p>Jesus took Mary, body and soul up to Heaven where He had a place prepared for her. Mary had perfected all virtues and her life resembled the life of Jesus in all things. The more you practice the virtues the holier you will become and soon you too can make your life a reflection of Jesus'.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
20;5;5;"Fifth Glorious Mystery: The Coronation";"<p>Because Mary shared in all Jesus' sufferings and because her life so perfectly resembled His, she was rewarded and crowned Queen of heaven and earth. She is a good Queen who wishes to distribute the many graces Jesus has given her upon her children if they just ask.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
